Aquatica_lateralis_1	LC306678.1
Aquatica_lateralis_2	NC_035755.1
Aquatica_leii	NC_025276.1
Luciola_unmunsana_2	NC_050947.1
Nipponoluciola_cruciata_1	NC_022472.1
Nipponoluciola_cruciata_2	LC677170.1
Nipponoluciola_cruciata_3	LC306677.1
Nipponoluciola_cruciata_4	OM718718.1
Nipponoluciola_cruciata_5	OM718717.1
Nipponoluciola_cruciata_6	AB849456.1
Luciola_curtithorax_1	NC_038225.1
Luciola_curtithorax_2	MG770613.1
Luciola_filiformis	PX289843.1
Luciola_kagiana_1	OQ184181.2
Luciola_kagiana_2	NC_072664.1
Luciola_parvula_1	LC677171.1
Luciola_parvula_2	NC_067969.1
Luciola_parvula_3	OL944082.1
Luciola_sp_1	OP747315.1
Luciola_sp_2	OP747314.1
Sclerotia_substriata_1	NC_027176.1
Sclerotia_substriata_2	KP313820.1
Luciola_unmunsana_1	MT134039.1
