SAMPLE	ASM_LEN	LEN_OK	N_CONTIGS	CONTIG_OK	PCG_COUNT	PCG_OK	RRNA_COUNT	RRNA_OK	TRNA_COUNT	TRNA_OK	DUPLICATED_GENES	ISSUES
SwLa-LuSpp-10-f-2020_pooled_89	15538	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-11-m-2020_pooled_90	16481	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-12-m-2020_pooled_91	15445	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-13-f-2020_pooled_92	15463	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-14-m-2020_pooled_93	15486	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-15-m-2020_pooled_94	16488	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-16-m-2020_pooled_95	16367	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-17-f-2020_pooled_96	16356	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-18-m-2020_pooled_97	16356	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-19-f-2020_pooled_98	15489	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-1-f-2020_pooled_80	16471	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-20-m-2020_pooled_99	15657	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-21-m-2020_pooled_100	15576	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-22-f-2020_pooled_101	13731	NO	1	YES	13	YES	1	NO	21	NO	none	TOO_SHORT(13731);RRNA=1;TRNA=21;
SwLa-LuSpp-23-m-HMW-2020_pooled_102	15443	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-2-m-2020_pooled_81	15697	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-3-f-2020_pooled_82	16471	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-4-f-2020_pooled_83	16419	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-5-m-2020_pooled_84	15886	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-6-m-2020_pooled_85	15513	YES	1	YES	13	YES	2	YES	22	YES	none	OK
